Name,TeamAbbreviation,cluster
Bam Adebayo,MIA,4
Ivica Zubac,LAC,5
Nikola Jokić,DEN,4
Brook Lopez,MIL,1
Karl-Anthony Towns,NYK,4
Domantas Sabonis,SAC,4
Alperen Sengun,HOU,4
Rudy Gobert,MIN,3
Jarrett Allen,CLE,5
Nikola Vučević,CHI,2
Jaren Jackson Jr.,MEM,4
Naz Reid,MIN,1
Myles Turner,IND,1
Onyeka Okongwu,ATL,2
Jalen Duren,DET,5
Yves Missi,NOP,0
Guerschon Yabusele,PHI,1
Nic Claxton,BKN,2
Alex Sarr,WAS,2
Wendell Carter Jr.,ORL,2
Walker Kessler,UTA,0
Jakob Poeltl,TOR,2
Al Horford,BOS,1
Isaiah Hartenstein,OKC,5
Victor Wembanyama,SAS,4
Jonas Valančiūnas,SAC,5
Kyle Filipowski,UTA,2
Isaiah Stewart,DET,2
Goga Bitadze,ORL,0
Kel'el Ware,MIA,2
Zach Edey,MEM,0
Luke Kornet,BOS,0
Donovan Clingan,POR,0
Mason Plumlee,PHX,3
Nick Richards,PHX,5
Moussa Diabaté,CHA,0
Daniel Gafford,DAL,0
Kristaps Porziņģis,BOS,4
Deandre Ayton,POR,2
Clint Capela,ATL,5
Mark Williams,CHA,5
Precious Achiuwa,NYK,2
Kevon Looney,GSW,0
Jaxson Hayes,LAL,3
Jusuf Nurkić,CHA,4
Trayce Jackson-Davis,GSW,5
Thomas Bryant,IND,1
Jalen Smith,CHI,2
Day'Ron Sharpe,BKN,0
Adem Bona,PHI,3
Kelly Olynyk,NOP,2
Chet Holmgren,OKC,4
Neemias Queta,BOS,3
Dereck Lively II,DAL,3
Steven Adams,HOU,0
Orlando Robinson,TOR,2
Andre Drummond,PHI,5
Jay Huff,MEM,1
Drew Eubanks,LAC,2
Micah Potter,UTA,1
DeAndre Jordan,DEN,5
Jericho Sims,MIL,3
Daniel Theis,NOP,2
Joel Embiid,PHI,4
Moritz Wagner,ORL,4
Dwight Powell,DAL,3
Bismack Biyombo,SAS,3
Tristan Vukcevic,WAS,4
Jock Landale,HOU,2
Duop Reath,POR,1
Kai Jones,DAL,3
Paul Reed,DET,2
Colin Castleton,TOR,2
Mo Bamba,NOP,2
Taj Gibson,CHA,2
Ousmane Dieng,OKC,1
Trey Jemison III,LAL,3
Alex Len,LAL,2
Charles Bassey,SAS,5
Robert Williams III,POR,0
Christian Koloko,LAL,3
Tristan Thompson,CLE,5
Mitchell Robinson,NYK,0
Oscar Tshiebwe,UTA,5
Branden Carlson,OKC,1
Xavier Tillman,BOS,1
Luka Garza,MIN,0
Ariel Hukporti,NYK,3
Dario Šarić,DEN,2
Bruno Fernando,TOR,5
Kylor Kelley,NOP,3
Moses Brown,DAL,5
Tony Bradley,IND,0
