Name,TeamAbbreviation,cluster
OG Anunoby,NYK,2
Jayson Tatum,BOS,0
Jaden McDaniels,MIN,2
Keegan Murray,SAC,4
Toumani Camara,POR,4
Pascal Siakam,IND,5
Tobias Harris,DET,2
Giannis Antetokounmpo,MIL,3
Kevin Durant,PHX,0
Harrison Barnes,SAS,2
Julius Randle,MIN,5
Evan Mobley,CLE,5
Scottie Barnes,TOR,0
Jalen Wilson,BKN,2
Miles Bridges,CHA,5
Draymond Green,GSW,2
Kyle Kuzma,MIL,2
Rui Hachimura,LAL,2
P.J. Washington,DAL,5
Dorian Finney-Smith,LAL,4
Cameron Johnson,BKN,2
Jabari Smith Jr.,HOU,2
Anthony Davis,DAL,5
Georges Niang,ATL,2
Santi Aldama,MEM,2
Paolo Banchero,ORL,0
Patrick Williams,CHI,2
Obi Toppin,IND,2
Sam Hauser,BOS,4
Jerami Grant,POR,2
Lauri Markkanen,UTA,2
Aaron Gordon,DEN,2
Tari Eason,HOU,1
Jeremy Sochan,SAS,1
Nicolas Batum,LAC,4
Trey Lyles,SAC,4
Jake LaRavia,SAC,2
Paul George,PHI,0
Jonathan Mogbo,TOR,1
Dean Wade,CLE,4
Tidjane Salaün,CHA,4
Bobby Portis,MIL,5
Jeremiah Robinson-Earl,NOP,4
John Collins,UTA,5
Brandon Clarke,MEM,1
Jarace Walker,IND,2
Nikola Jović,MIA,2
Jonathan Kuminga,GSW,5
Kenrich Williams,OKC,4
Jonathan Isaac,ORL,1
Oso Ighodaro,PHX,1
Noah Clowney,BKN,4
Zach Collins,CHI,1
Trendon Watford,BKN,5
Chris Boucher,TOR,2
Zion Williamson,NOP,3
Karlo Matković,NOP,1
Jaylin Williams,OKC,4
Gui Santos,GSW,4
Jabari Walker,POR,1
Quinten Post,GSW,4
Sandro Mamukelashvili,SAS,4
Maxi Kleber,DAL,4
Zeke Nnaji,DEN,4
Olivier-Maxence Prosper,DAL,1
Jarred Vanderbilt,LAL,1
Richaun Holmes,WAS,1
Mouhamed Gueye,ATL,1
Grant Williams,CHA,4
Larry Nance Jr.,ATL,4
GG Jackson,MEM,2
Bol Bol,PHX,2
David Roddy,HOU,2
Jordan Walsh,BOS,4
Hunter Tyson,DEN,4
Anthony Gill,WAS,2
Jeff Green,HOU,2
Dominick Barlow,ATL,1
Isaac Jones,SAC,1
Kobe Brown,LAC,1
Marvin Bagley III,MEM,1
Drew Timme,BKN,5
Kevin Love,MIA,5
JT Thor,WAS,4
Alex Reese,PHI,4
Chuma Okeke,CLE,4
Drew Peterson,BOS,4
Enrique Freeman,IND,1
Markieff Morris,LAL,2
Lamar Stevens,MEM,5
Pete Nance,MIL,4
Vlatko Čančar,DEN,4
Tyler Smith,MIL,4
Jae Crowder,SAC,4
