Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,LongMidRangePctBlocked,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGA,NonHeaveArc3Accuracy
Mikal Bridges,NYK,2.16748768472906,1.23152709359606,1.04030144167759,0.0328407224958949,2.13464696223317,114.547237659366,0.70284406668846,1.2258908139915,23.7110016420361,11.8226600985222,0.594444444444444,7.60262725779967,0.363636363636364,1.57635467980296,9.58949096880131,4.46633825944171,7.73399014778325,0.344827586206897,0.682242990654206,0.720987654320988,0.957317073170732,0.391377852916314,0.538136753246753,0.569737954353339,0.585158150851582,0.755336617405583,19.7140381282496,2.12155963302752,3.07289964040536,1.12781954887218,0.0474552957359009,1.89604445897352,0.0849816849816849,1.16584564860427,0.509031198686371,0.020694259012016,0.656814449917898,0.0319233838786911,0.0258087968011632,0.0488656195462478,0.028169014084507,5.02463054187192,12.2331691297209,2.84072249589491,2.18390804597701,1.9376026272578,0.83743842364532,0.229885057471264,0.0328407224958949,0.0,0.180623973727422,0.0433715220949263,0.59425190194421,7.91680555555556,25.2822510822511,3.94088669950739,0.202874049027895,0.758333333333333,0.774725274725275,5.86206896551724,0.301775147928994,0.515406162464986,2.01970443349754,0.103972950126796,0.504065040650407,0.629032258064516,0.0,3.5632183908046,0.183431952662722,0.428571428571429,0.428571428571429,0.978494623655914,4.03940886699507,0.288617886178862,234,0.303418803418803
DeMar DeRozan,SAC,1.85939436869134,1.22188772799717,1.33297787256732,0.0354170355941207,5.59589162387108,117.606136282554,0.570816981805209,1.10595790224759,30.2815654329733,18.6293607225075,0.513307984790875,4.53338055604746,0.336,6.69381972728883,6.94173897644767,12.1834602443775,3.93129095094741,0.531255533911812,0.362962962962963,0.371212121212121,0.880952380952381,0.195718654434251,0.462782037325039,0.509174311926605,0.567631224764468,0.425004427129449,24.9490036089754,2.64818270683373,4.42383160899037,1.78380306814128,0.0788022064617809,2.44381020335355,0.103866565579985,0.885425889853019,0.513547016114751,0.0203508771929824,0.354170355941208,0.016764459346186,0.0187165775401069,0.0539772727272727,0.027027027027027,6.05631308659465,15.2824508588631,2.88648840092084,3.16982468567381,7.80945634850363,3.7542057729768,0.956259961041261,0.159376660173543,0.0354170355941207,0.230210731361785,0.150033944331297,0.287461773700306,12.6577946768061,26.3854901960784,2.12502213564725,0.091743119266055,0.716666666666667,0.476744186046512,7.66778820612715,0.331039755351682,0.51270207852194,8.83655038073313,0.381498470948012,0.464929859719439,0.392241379310345,0.0200400801603206,1.48751549495307,0.0642201834862385,0.357142857142857,0.357142857142857,1.0,3.04586506109439,0.313953488372093,166,0.325301204819277
Michael Porter Jr.,DEN,1.93704600484262,1.24790463773515,1.46182495344507,0.0558763270627677,2.57031104488732,117.650344442376,0.707503258238689,0.930925339787749,26.0383684112498,10.4116222760291,0.599284436493739,9.10784131123114,0.401247401247401,2.77519091078413,9.23821940771093,3.24082696964053,9.94598621717266,0.838144905941516,0.740298507462687,0.885714285714286,0.922279792746114,0.466603053435115,0.548479855769231,0.595896946564886,0.61660777385159,2.04879865896815,20.2260072060269,5.02793296089386,7.4846397318935,3.27685719605288,0.129221732745962,3.79817538633402,0.165718927701056,2.57031104488732,1.69491525423729,0.0693069306930693,0.81951946358726,0.0440881763527054,0.0584162700129813,0.104910714285714,0.0820895522388059,3.07319798845223,7.15216986403427,2.06742410132241,1.00577388712982,3.6133358167256495,1.43415906127771,0.279381635313839,0.186254423542559,0.0558763270627677,0.279381635313839,0.0778871978513876,0.745229007633588,7.01520572450805,26.1333333333333,5.43862916744273,0.278625954198473,0.73972602739726,0.740740740740741,2.6634382566586,0.136450381679389,0.48951048951049,2.30955485192773,0.118320610687023,0.395161290322581,0.755102040816327,0.0,1.17340286831812,0.0601145038167938,0.507936507936508,0.516129032258065,0.90625,7.93443844291302,0.37793427230047,418,0.385167464114833
LeBron James,LAL,5.22088353413655,3.13253012048193,0.993676603432701,0.0401606425702811,5.30120481927711,117.098133654425,0.78266104756171,1.40477623921333,34.3373493975904,17.5502008032129,0.574370709382151,7.95180722891566,0.378172588832487,5.20080321285141,7.71084337349398,12.4497991967871,6.20481927710843,2.7710843373494,0.382470119521912,0.398340248962656,0.691275167785235,0.311811023622047,0.523816719242902,0.571259842519685,0.602899575671853,0.803212851405623,30.2603036876356,5.48027702499247,9.51234196267309,4.23439694962874,0.182210708117444,4.65582982139274,0.194304857621441,1.44578313253012,0.783132530120482,0.0379746835443038,0.662650602409639,0.029126213592233,0.0333333333333333,0.166666666666667,0.0560471976401179,11.5461847389558,27.0682730923695,7.57028112449799,3.97590361445783,6.64658634538153,2.99196787148594,0.662650602409639,0.0602409638554216,0.0,0.502008032128514,0.10943124550036,0.613385826771654,7.38215102974828,26.7815656565657,7.69076305220884,0.301574803149606,0.744125326370757,0.463157894736842,6.36546184738956,0.249606299212598,0.460567823343849,3.49397590361446,0.137007874015748,0.408045977011494,0.211267605633803,0.0,0.742971887550201,0.0291338582677165,0.351351351351351,0.351351351351351,1.0,7.20883534136546,0.37883008356546,357,0.380952380952381
Dillon Brooks,HOU,1.57089706490285,0.806118230673832,2.50465742082385,0.186027284001654,2.23232740801984,111.29767827529,0.33167495854063,1.24378109452736,21.7651922281935,8.80529144274494,0.464788732394366,9.69408846630839,0.397435897435897,2.04630012401819,3.63786688714345,4.54733360892931,11.099627945432,0.434063662670525,0.444444444444444,0.480874316939891,0.96236559139785,0.524022346368715,0.52454779661017,0.532960893854749,0.55421052631579,0.620090946672179,17.9743724767421,2.83585179051956,4.12520729684909,2.13515754560531,0.0807210031347962,1.82421227197347,0.0857699805068226,1.55022736668045,0.992145514675486,0.0343593414459556,0.454733360892931,0.0205415499533146,0.0283630470016207,0.0797266514806378,0.042,2.64572137246796,6.32492765605622,1.61223646134766,1.0334849111203,2.52170318313353,1.0541546093427,0.248036378668871,0.0206696982224059,0.0,0.310045473336089,0.055614973262032,0.678212290502793,8.3981220657277,25.4429487179487,2.85241835469202,0.154189944134078,0.550724637681159,0.552631578947369,4.36130632492766,0.235754189944134,0.402843601895735,1.59156676312526,0.0860335195530726,0.480519480519481,0.405405405405405,0.0,2.37701529557669,0.128491620111732,0.391304347826087,0.394736842105263,1.0,7.31707317073171,0.398305084745763,353,0.39943342776204
Amen Thompson,HOU,3.05580159433127,1.6607617360496,1.84734513274336,0.177147918511958,3.85296722763508,110.831122900088,1.96728558797524,2.14412024756852,21.4791851195748,13.4189548272808,0.599009900990099,2.01505757307352,0.280898876404494,3.7422497785651,8.41452612931798,7.66164747564216,1.59433126660762,0.066430469441984,0.523415977961433,0.590062111801242,0.96,0.130559540889527,0.563323554913295,0.574605451936872,0.599505562422744,1.81576616474756,17.7208083832335,6.23893805309735,8.22281167108753,3.13881520778073,0.122943722943723,4.28824049513705,0.192842942345924,4.25155004428698,2.41364038972542,0.0863708399366085,1.6829052258636,0.0774719673802242,0.0824788230049041,0.092391304347826,0.0763888888888889,5.86802480070859,14.6368467670505,2.96722763507529,2.9007971656333,5.46944198405669,2.76793622674934,0.509300265721878,0.0,0.0,0.221434898139947,0.156445556946183,0.642754662840746,5.20082508250825,25.1604395604396,7.9052258635961,0.51219512195122,0.719887955182073,0.583657587548638,4.29583702391497,0.278335724533716,0.448453608247423,1.21789193976971,0.078909612625538,0.345454545454545,0.473684210526316,0.0,1.19574844995571,0.0774748923959827,0.37037037037037,0.37037037037037,1.0,0.819309123117803,0.135135135135135,35,0.142857142857143
Taurean Prince,MIL,1.83691756272401,1.18727598566308,1.85019062570083,0.0,1.34408602150538,117.085765603952,0.336775931746745,1.70633138751684,14.6953405017921,4.00985663082437,0.491620111731844,7.50448028673835,0.441441441441441,0.873655913978495,3.04659498207885,0.896057347670251,9.74462365591398,0.134408602150538,0.772727272727273,0.80952380952381,0.986394557823129,0.651750972762646,0.56581923828125,0.600194552529183,0.612359550561798,0.17921146953405,12.6048700634336,3.2182103610675,5.68028738212842,2.62685226762461,0.10665451230629,2.91872474180512,0.118505013673655,0.761648745519713,0.268817204301075,0.0123583934088568,0.403225806451613,0.0186721991701244,0.0155038759689922,0.122015915119363,0.0202312138728323,3.47222222222222,8.13172043010753,2.28494623655914,1.18727598566308,1.0752688172043,0.268817204301075,0.0672043010752688,0.0448028673835125,0.0224014336917562,0.224014336917563,0.0267175572519083,0.844357976653697,5.32122905027933,24.8208955223881,2.21774193548387,0.192607003891051,0.585858585858586,0.793103448275862,1.4336917562724,0.124513618677043,0.359375,0.3584229390681,0.0311284046692607,0.4375,0.857142857142857,0.0,3.87544802867384,0.336575875486381,0.450867052023121,0.456140350877193,0.987179487179487,3.62903225806452,0.425925925925926,160,0.43125
Deni Avdija,POR,4.44343686238948,3.26456585808207,1.93548387096774,0.158694173656767,6.6878258898209,116.794755877034,0.791139240506329,1.60488245931284,27.6354568125142,11.3579687145772,0.552894211576846,7.75334391294491,0.366568914956012,6.5744729086375,5.62230786669689,6.93720244842439,7.20924960326457,1.29222398549082,0.447653429602888,0.49402390438247,0.848,0.405693950177936,0.567068099273608,0.551008303677343,0.606573705179283,1.17887100430741,23.2246798603027,5.89700056593096,9.3128390596745,4.29475587703436,0.183397683397683,4.249547920434,0.190283400809717,2.47109498979823,1.33756517796418,0.0550373134328358,1.08818861936069,0.0450281425891182,0.0500467726847521,0.189944134078212,0.0659574468085106,6.37043754250737,15.279981863523,3.83133076399909,2.53910677850827,8.43346180004534,4.23940149625935,1.08818861936069,0.045341192473362,0.045341192473362,0.498753117206983,0.192464358452139,0.790035587188612,4.33033932135729,25.5669590643275,7.34527318068465,0.384341637010676,0.654320987654321,0.443396226415094,3.42326003173883,0.179122182680902,0.350993377483444,0.589435502153707,0.0308422301304863,0.461538461538462,0.666666666666667,0.0,1.54160054409431,0.0806642941874258,0.308823529411765,0.308823529411765,0.952380952380952,6.2117433688506,0.37956204379562,273,0.380952380952381
Jaylen Brown,BOS,3.71304148521659,2.40660096264039,1.76625759834843,0.206280082512033,6.69264267705707,113.797061524334,0.436179981634527,1.67584940312213,32.0421728168691,17.4192069676828,0.528947368421053,8.20536328214531,0.324022346368715,5.6383222553289,7.10520284208114,11.3224845289938,5.77584231033692,2.20032088012835,0.385572139303483,0.406824146981627,0.724137931034483,0.320214669051878,0.51834533632287,0.51520572450805,0.55622009569378,0.962640385056154,28.6813854567551,4.20919830255763,6.54269972451791,2.68595041322314,0.105595667870036,3.12213039485767,0.130895091434071,1.8794407517763,1.19184047673619,0.0611764705882353,0.68760027504011,0.0242130750605326,0.0392532312111057,0.0980392156862745,0.0492957746478873,6.55512262204905,16.6628466651387,3.00252120100848,3.55260142104057,7.38024295209718,3.57552143020857,0.93972037588815,0.0916800366720146,0.0229200091680036,0.412560165024066,0.129449838187702,0.588550983899821,7.35631578947368,26.0650837988827,6.8760027504011,0.268336314847943,0.676666666666667,0.443349753694581,7.33440293376117,0.286225402504472,0.4375,3.20880128352051,0.125223613595707,0.421428571428571,0.355932203389831,0.0357142857142857,1.62732065092826,0.0635062611806797,0.436619718309859,0.436619718309859,0.935483870967742,6.57804263121705,0.29616724738676,287,0.29616724738676
Bennedict Mathurin,IND,3.04122550123902,1.91484568596531,1.82063385030344,0.157693174138319,5.51926109484118,114.151154967481,0.538237272931151,1.0540479928235,26.0419013291282,12.7280919125929,0.51858407079646,6.48794773597657,0.343859649122807,6.21761658031088,7.70443793647218,5.49673349853571,4.73079522414958,1.89231808965983,0.583617747440273,0.6309963099631,0.714285714285714,0.337631887456038,0.543069529411765,0.515826494724502,0.574425574425574,0.991214237440865,22.9647630619684,4.30433805349517,6.63825969948419,2.96030500112133,0.125714285714286,3.2967032967033,0.141210374639769,1.95990087857626,0.968686641135391,0.0419103313840155,0.946159044829917,0.0456026058631921,0.0436569080636877,0.0988235294117647,0.0780346820809248,3.06375309754449,7.36652399189007,1.82473530074341,1.23901779680108,7.47916197341744,3.51430502365398,0.630772696553278,0.0450551926109484,0.0,0.405496733498536,0.160732451678535,0.681125439624854,6.48371681415929,26.24375,6.60058571750394,0.343493552168816,0.614334470989761,0.611111111111111,4.10002252759631,0.213364595545135,0.445054945054945,2.02748366749268,0.105509964830012,0.355555555555556,0.5,0.0222222222222222,1.01374183374634,0.0527549824150058,0.4,0.4,0.944444444444444,5.47420590223023,0.329218106995885,240,0.333333333333333
