"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"Mikal Bridges","NYK",82,3036,1.0403014416775884,0.8336057535142203,0.032690421706440015,0.06568144499178982,0.06568144499178982,0.03284072249589491,0.17979731938542007,0,0,0,0,0,0.016420361247947456,0.016345210853220007,2.134646962233169
"Josh Hart","NYK",77,2897,1.7309679641749913,1.873818119305484,0.36101083032490977,0.29335634167385677,0.06902502157031924,0,0.17190991920233797,0.034381983840467596,0,0,0,0.017190991920233798,0,0,3.1406384814495256
"Anthony Edwards","MIN",79,2871,1.2938842404899509,1.0535405872193437,0.1381692573402418,0.17232465965879717,0.1033947957952783,0.1033947957952783,0.03454231433506045,0,0,0,0.017271157167530225,0,0,0,5.876270894364984
"Devin Booker","PHX",75,2795,1.7526777020447906,1.4371894960965224,0.177430801987225,0.1589825119236884,0.19431195901784137,0.08832361773538244,0.42583392476933996,0.035486160397444996,0,0,0,0.035486160397444996,0,0.035486160397444996,7.136548313018901
"James Harden","LAC",79,2789,1.4295799505824214,1.2365306482953542,0.21197668256491786,0.05290072297654735,0.4584729324634103,0.08816787162757891,0.1413177883766119,0.03532944709415298,0,0,0,0.01766472354707649,0,0.01766472354707649,6.542056074766355
"DeMar DeRozan","SAC",77,2768,1.3329778725673154,1.5875847306457367,0.1962183374955405,0.03541703559412077,0.10625110678236231,0.03541703559412077,0.23189439885836605,0.07135212272565108,0,0,0,0.01783803068141277,0,0.01783803068141277,5.595891623871082
"Trae Young","ATL",76,2739,1.230690884399932,1.1726716519374576,0.10197144799456152,0.084774499830451,0.1356391997287216,0.0339097999321804,0.35690006798096535,0.0849762066621346,0,0,0,0.03399048266485384,0.0508646998982706,0,7.290606985418786
"Tyler Herro","MIA",77,2725,0.7778896311887984,0.7522935779816514,0.05504587155963303,0.054774511593938285,0.09129085265656381,0.018258170531312762,0.05504587155963303,0,0,0,0,0.03669724770642202,0.018258170531312762,0,4.1446047106079975
"OG Anunoby","NYK",74,2706,1.5873015873015872,1.809119438803766,0.1661436219309581,0.09226794611551947,0.07381435689241557,0.11072153533862336,0.20306442680450434,0.05538120731031936,0,0,0,0,0.018453589223103892,0.036920804873546244,3.229378114043181
"Jalen Green","HOU",82,2697,1.1550704865848114,1.0766423357664234,0.10948905109489052,0.14505893019038985,0.09066183136899365,0.07252946509519492,0.0364963503649635,0.01824817518248175,0,0,0,0,0,0,4.496826835902085
