"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Mikal Bridges","NYK",82,3036,1.9376026272577997,2,0.8374384236453202,0.22988505747126436,0.03284072249589491,0,0.180623973727422,0.04337152209492635,0.06737120211360634,0.004301075268817204
"Josh Hart","NYK",77,2897,3.537532355478861,0,1.7773943054357204,0.5004314063848145,0,0,0.24158757549611734,0.1221826809015421,0.17428087986463622,0
"Anthony Edwards","MIN",79,2871,8.54730311907634,16,3.8773048423229364,0.9650180940892642,0.13785972772703775,0.03446493193175944,0.551438910908151,0.13038612199216565,0.23195876288659795,0.009791921664626682
"Devin Booker","PHX",75,2795,8.532061473237944,22,3.1973149620208443,0.724253665430136,0.37095919448860626,0.08832361773538244,0.794912559618442,0.12706480304955528,0.17938553022794845,0.033628318584070796
"James Harden","LAC",79,2789,10.192205960148122,23,3.174043378592841,0.5995415270675366,1.0580144595309469,0.1939693175806736,0.6348086757185681,0.1610738255033557,0.23285899094437257,0.08368200836820083
"DeMar DeRozan","SAC",77,2768,7.80945634850363,23,3.754205772976802,0.9562599610412609,0.15937666017354346,0.03541703559412077,0.23021073136178502,0.1500339443312967,0.17520661157024794,0.034220532319391636
"Trae Young","ATL",76,2739,9.511698880976603,22,2.8314682943370633,0.6103763987792472,0.339097999321804,0.0169548999660902,1.5937605968124788,0.12254259501965924,0.1930635838150289,0.030257186081694403
"Tyler Herro","MIA",77,2725,5.970421763739274,27,2.1179477816322803,0.5112287748767573,0.4564542632828191,0.12780719371918933,0.3286470695636297,0.09446693657219973,0.1459119496855346,0.034934497816593885
"OG Anunoby","NYK",74,2706,4.17051116442148,1,2.1406163498800517,0.4797933198007012,0.018453589223103892,0,0.14762871378483114,0.10502692998204669,0.1776416539050536,0.0021691973969631237
"Jalen Green","HOU",82,2697,6.092475067996373,11,2.411604714415231,0.45330915684496825,0.3263825929283772,0.10879419764279238,0.3989120580235721,0.09698137443802184,0.1504524886877828,0.02674591381872214
"Christian Braun","DEN",79,2675,3.880326382592928,0,2.0489573889392565,0.5077062556663645,0,0,0.14505893019038985,0.12472406181015452,0.1656891495601173,0
"Bam Adebayo","MIA",78,2674,6.168647425014148,3,2.867383512544803,0.5847953216374269,0,0,0.5093378607809848,0.12317666126418152,0.15004935834155972,0
"Ivica Zubac","LAC",80,2624,4.442771084337349,0,2.3343373493975905,0.677710843373494,0,0,0.22590361445783133,0.1203883495145631,0.1203883495145631,0
"Jayson Tatum","BOS",72,2624,8.30188679245283,27,2.9245283018867925,0.6415094339622641,0.4339622641509434,0.05660377358490566,0.6981132075471698,0.1102803738317757,0.18065268065268064,0.029451137884872823
"Jaden McDaniels","MIN",82,2614,2.446950869814567,2,1.1661250238960046,0.3823360734085261,0.019116803670426306,0,0.21028484037468936,0.07077625570776255,0.10664335664335664,0.003289473684210526
"Keegan Murray","SAC",76,2610,1.35236664162284,0,0.7513148009015778,0.26296018031555224,0.037565740045078885,0,0,0.049528301886792456,0.10075566750629723,0.004434589800443459
"Zach LaVine","SAC",74,2603,5.278755325060196,13,2.5004630487127244,0.6297462493054269,0.05556584552694944,0,0.259307279125764,0.1039939713639789,0.1713197969543147,0.0055658627087198514
"Shai Gilgeous-Alexander","OKC",76,2598,12.295533909207867,35,4.943944127917662,1.1027384671935305,0.22054769343870612,0.01837897445322551,1.1762543650064325,0.14933333333333335,0.18811188811188811,0.024719101123595506
"Michael Porter Jr.","DEN",77,2593,3.6133358167256473,2,1.4341590612777053,0.2793816353138387,0.18625442354255914,0.05587632706276774,0.2793816353138387,0.07788719785138765,0.12399355877616747,0.020161290322580645
