"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Mikal Bridges","NYK",82,3036,2.167487684729064,1.2315270935960592,0.9359605911330049,0.5681818181818182,0.361247947454844,0.3284072249589491,0.8702791461412152,0.4269293924466338,0.03284072249589491,0,0.04926108374384237,0
"Josh Hart","NYK",77,2897,2.72648835202761,1.7601380500431407,0.9663503019844694,0.6455696202531646,0.4831751509922347,0.12079378774805867,1.2769628990509059,0.4314063848144953,0.2070750647109577,0,0.08628127696289906,0.01725625539257981
"Anthony Edwards","MIN",79,2871,4.29088402550405,2.739962088574875,1.5509219369291745,0.6385542168674698,1.2924349474409789,0.3274168533517146,1.4475271411338964,0.6892986386351887,0.12062726176115803,0,0.05169739789763915,0.01723246596587972
"Devin Booker","PHX",75,2795,3.8862391803568275,2.5613849143260907,1.3248542660307365,0.6590909090909091,0.9009009009009009,0.19431195901784137,1.66048401342519,0.5829358770535241,0.17664723547076489,0,0.03532944709415298,0
"James Harden","LAC",79,2789,6.013048845000882,4.355492858402398,1.6575559865984835,0.7243401759530792,1.5164873919943573,0.17633574325515783,2.839005466408041,0.7406101216716628,0.05290072297654735,0,0.05290072297654735,0
"DeMar DeRozan","SAC",77,2768,1.8593943686913406,1.2218877279971667,0.6375066406941738,0.6571428571428571,0.548964051708872,0.12395962457942271,0.6729236762882946,0.24791924915884542,0.08854258898530193,0,0.03541703559412077,0
"Trae Young","ATL",76,2739,6.018989487962021,4.306544591386911,1.7124448965751102,0.7154929577464789,0.7799253984401492,0.2712783994574432,3.5266191929467614,0.9664292980671414,0.2204136995591726,0,0.0169548999660902,0
"Tyler Herro","MIA",77,2725,3.615117765199927,2.483111192258536,1.1320065729413913,0.6868686868686869,1.1867810845353295,0.20083987584444038,1.2963301077232061,0.5112287748767573,0.1460653642505021,0,0.10954902318787657,0
"OG Anunoby","NYK",74,2706,1.882266100756597,0.9964938180476103,0.8857722827089869,0.5294117647058824,0.49824690902380514,0.18453589223103894,0.49824690902380514,0.20298948145414283,0.16608230300793506,0,0.12917512456172725,0
"Jalen Green","HOU",82,2697,3.6808703535811422,2.5566636446056212,1.1242067089755212,0.6945812807881774,1.1786038077969174,0.3626473254759746,1.3780598368087036,0.3626473254759746,0.12692656391659113,0,0.07252946509519492,0
"Christian Braun","DEN",79,2675,1.4687216681776971,0.9066183136899365,0.5621033544877606,0.6172839506172839,0.3445149592021759,0.01813236627379873,0.5621033544877606,0.1631912964641886,0.05439709882139619,0,0.10879419764279238,0
"Bam Adebayo","MIA",78,2674,3.0371627994717976,1.5091492171288436,1.5280135823429541,0.4968944099378882,0.6979815129220902,0.2641011129975476,0.8111677042067534,0.4904734955668742,0.15091492171288437,0.018864365214110546,0.03772873042822109,0.056593095642331635
"Ivica Zubac","LAC",80,2624,2.3908132530120483,1.3742469879518073,1.016566265060241,0.5748031496062992,0.7718373493975904,0.11295180722891567,0.6024096385542169,0.15060240963855423,0.20707831325301204,0.03765060240963856,0.01882530120481928,0.01882530120481928
"Jayson Tatum","BOS",72,2624,3.943396226415094,2.5283018867924527,1.4150943396226414,0.6411483253588517,1.0188679245283019,0.2830188679245283,1.509433962264151,0.4528301886792453,0.09433962264150944,0,0.03773584905660377,0
"Jaden McDaniels","MIN",82,2614,1.8160963486904989,0.9176065761804626,0.8984897725100364,0.5052631578947369,0.3823360734085261,0.17205123303383674,0.5352705027719366,0.21028484037468936,0.17205123303383674,0,0.11470082202255782,0.019116803670426306
