Name,TeamAbbreviation,cluster
Tyrese Maxey,PHI,3
Cooper Flagg,DAL,3
Shai Gilgeous-Alexander,OKC,3
Payton Pritchard,BOS,3
Keyonte George,UTA,3
James Harden,LAC,3
Ryan Rollins,MIL,3
Cade Cunningham,DET,3
Immanuel Quickley,TOR,3
Davion Mitchell,MIA,3
Dennis Schröder,SAC,3
Stephon Castle,SAS,3
Jamal Murray,DEN,3
Luka Dončić,LAL,3
Anthony Black,ORL,3
Stephen Curry,GSW,3
Jrue Holiday,POR,3
Josh Giddey,CHI,3
Jalen Brunson,NYK,3
Jeremiah Fears,NOP,3
Collin Gillespie,PHX,3
Kris Dunn,LAC,0
Bub Carrington,WAS,0
Ja Morant,MEM,3
D'Angelo Russell,DAL,3
Tre Jones,CHI,0
Tre Mann,CHA,0
Mike Conley,MIN,0
Lonzo Ball,CLE,0
Reed Sheppard,HOU,0
Cole Anthony,MIL,3
Brandon Williams,DAL,3
Egor Dëmin,BKN,0
Craig Porter Jr.,CLE,0
Jose Alvarado,NOP,0
LaMelo Ball,CHA,3
Jamal Shead,TOR,0
Jalen Suggs,ORL,3
Vít Krejčí,ATL,0
Keaton Wallace,ATL,0
Daniss Jenkins,DET,0
Jordan Poole,NOP,0
Jordan Goodwin,PHX,0
De'Aaron Fox,SAS,3
Andrew Nembhard,IND,3
Tyus Jones,ORL,0
Walter Clayton Jr.,UTA,0
RayJ Dennis,IND,0
Isaiah Collier,UTA,2
Tyrese Proctor,CLE,0
Trae Young,ATL,3
Rob Dillingham,MIN,0
Chris Paul,LAC,0
Bones Hyland,MIN,0
Quenton Jackson,IND,3
Pat Spencer,GSW,0
Javon Small,MEM,0
KJ Simpson,CHA,0
Gabe Vincent,LAL,0
Jordan McLaughlin,SAS,0
Darius Garland,CLE,0
Tyler Kolek,NYK,0
Monté Morris,IND,0
Devin Carter,SAC,0
Aaron Holiday,HOU,0
T.J. McConnell,IND,0
Jevon Carter,CHI,0
Ryan Nembhard,DAL,2
Nolan Traore,BKN,0
Tyson Etienne,BKN,0
JD Davison,HOU,0
Mark Sears,MIL,2
Miles Kelly,DAL,1
Jahmir Young,MIA,0
Kevin Porter Jr.,MIL,0
Sharife Cooper,WAS,0
Jamaree Bouyea,PHX,0
Kyle Lowry,PHI,0
