Name,TeamAbbreviation,cluster
Franz Wagner,ORL,0
Trey Murphy III,NOP,0
Duncan Robinson,DET,0
Jaylen Brown,BOS,0
Deni Avdija,POR,0
Jimmy Butler III,GSW,3
Brandon Ingram,TOR,0
Andrew Wiggins,MIA,0
Kon Knueppel,CHA,0
Mikal Bridges,NYK,0
Royce O'Neale,PHX,0
RJ Barrett,TOR,0
Jalen Johnson,ATL,0
Kevin Durant,HOU,0
Amen Thompson,HOU,0
Jaime Jaquez Jr.,MIA,0
Michael Porter Jr.,BKN,0
Herbert Jones,NOP,0
Kelly Oubre Jr.,PHI,0
Russell Westbrook,SAC,0
Naji Marshall,DAL,0
Julian Champagnie,SAS,0
Svi Mykhailiuk,UTA,0
Kyshawn George,WAS,0
Ryan Dunn,PHX,0
Ronald Holland II,DET,0
Saddiq Bey,NOP,0
Tristan da Silva,ORL,0
De'Andre Hunter,CLE,0
Kevin Huerter,CHI,0
Aaron Nesmith,IND,0
Keldon Johnson,SAS,0
Derrick Jones Jr.,LAC,0
Ausar Thompson,DET,3
Cameron Johnson,DEN,0
Josh Hart,NYK,0
Peyton Watson,DEN,0
Kris Murray,POR,0
Klay Thompson,DAL,0
Zaccharie Risacher,ATL,0
Ace Bailey,UTA,0
Ziaire Williams,BKN,0
Luguentz Dort,OKC,0
Simone Fontecchio,MIA,0
Dillon Brooks,PHX,0
Dalton Knecht,LAL,0
Khris Middleton,WAS,0
Corey Kispert,WAS,0
Cam Whitmore,WAS,0
Kawhi Leonard,LAC,0
Brice Sensabaugh,UTA,0
Taurean Prince,MIL,0
Justin Edwards,PHI,0
Hugo González,BOS,0
Caleb Martin,DAL,1
Sidy Cissoko,POR,0
Liam McNeeley,CHA,0
Justin Champagnie,WAS,2
Bennedict Mathurin,IND,3
Nigel Hayes-Davis,PHX,0
Julian Phillips,CHI,0
Jett Howard,ORL,0
Spencer Jones,DEN,0
Jamison Battle,TOR,0
Kyle Anderson,UTA,1
Will Riley,WAS,3
Cody Martin,IND,2
Bobi Klintman,DET,0
Jordan Miller,LAC,0
Noah Penda,ORL,2
Brandon Miller,CHA,3
Jae'Sean Tate,HOU,0
Leonard Miller,MIN,2
Caleb Houstan,ATL,0
LeBron James,LAL,3
Keshad Johnson,MIA,0
Joe Ingles,MIN,0
David Jones Garcia,SAS,1
Mohamed Diawara,NYK,0
Ron Harper Jr.,BOS,0
Harrison Ingram,SAS,2
Jacob Toppin,ATL,1
Thanasis Antetokounmpo,MIL,1
Riley Minix,SAS,2
Adou Thiero,LAL,1
Doug McDermott,SAC,0
Myron Gardner,MIA,0
Jamal Cain,ORL,1
