Name,TeamAbbreviation,cluster
Devin Booker,PHX,2
Dyson Daniels,ATL,2
Desmond Bane,ORL,2
Derrick White,BOS,2
VJ Edgecombe,PHI,2
Devin Vassell,SAS,2
Brandin Podziemski,GSW,2
Max Christie,DAL,2
Donovan Mitchell,CLE,2
Austin Reaves,LAL,2
Donte DiVincenzo,MIN,2
AJ Green,MIL,4
Ajay Mitchell,OKC,2
Grayson Allen,PHX,2
Gary Trent Jr.,MIL,4
Zach LaVine,SAC,2
Quentin Grimes,PHI,2
Cason Wallace,OKC,4
Nickeil Alexander-Walker,ATL,2
Shaedon Sharpe,POR,2
Cedric Coward,MEM,2
CJ McCollum,WAS,2
Jaylen Wells,MEM,2
Terance Mann,BKN,2
Sion James,CHA,4
Anfernee Simons,BOS,2
Ben Sheppard,IND,4
Javonte Green,DET,4
Kentavious Caldwell-Pope,MEM,2
Norman Powell,MIA,2
Moses Moody,GSW,2
Collin Sexton,CHA,2
Marcus Smart,LAL,2
Isaac Okoro,CHI,4
Tre Johnson,WAS,2
Christian Braun,DEN,4
Sam Merrill,CLE,4
Pelle Larsson,MIA,2
Anthony Edwards,MIN,2
Tim Hardaway Jr.,DEN,4
Tyrese Martin,BKN,2
Bruce Brown,DEN,4
Luke Kennard,ATL,4
Landry Shamet,NYK,4
Cam Spencer,MEM,2
Jaylon Tyson,CLE,4
Ayo Dosunmu,CHI,2
Josh Okogie,HOU,4
Buddy Hield,GSW,4
Malik Monk,SAC,2
Miles McBride,NYK,2
Keon Ellis,SAC,4
Isaiah Joe,OKC,4
Will Richard,GSW,2
Aaron Wiggins,OKC,2
Gradey Dick,TOR,4
Jordan Clarkson,NYK,2
Dru Smith,MIA,2
Cam Thomas,BKN,2
Bogdan Bogdanović,LAC,4
Vince Williams Jr.,MEM,2
Caris LeVert,DET,2
Jaylen Clark,MIN,0
Jordan Hawkins,NOP,4
Nique Clifford,SAC,4
Alex Caruso,OKC,4
John Konchar,MEM,4
Drake Powell,BKN,2
Gary Payton II,GSW,0
Dylan Harper,SAS,2
Jaden Hardy,DAL,2
Amir Coffey,MIL,0
Chaz Lanier,DET,4
Ochai Agbaji,TOR,0
Ja'Kobe Walter,TOR,4
Bilal Coulibaly,WAS,2
Bradley Beal,LAC,4
Micah Peavy,NOP,0
Cody Williams,UTA,0
Terrence Shannon Jr.,MIN,2
Baylor Scheierman,BOS,4
Bronny James,LAL,4
Cam Christie,LAC,4
Brooks Barnhizer,OKC,3
Kobe Sanders,LAC,4
Blake Wesley,POR,2
Ben Saraf,BKN,2
Pat Connaughton,CHA,4
Nick Smith Jr.,LAL,2
Taelon Peter,IND,2
Caleb Love,POR,4
Gary Harris,MIL,0
Julian Strawther,DEN,2
Chris Youngblood,OKC,4
Elijah Harkless,UTA,4
Dalen Terry,CHI,4
Jalen Pickett,DEN,4
Matisse Thybulle,POR,4
Rayan Rupert,POR,0
Luke Travers,CLE,0
Lindy Waters III,SAS,4
Wendell Moore Jr.,DET,0
Bryce McGowens,NOP,1
AJ Johnson,WAS,0
Johnny Furphy,IND,0
Jared McCain,PHI,1
Malaki Branham,WAS,2
Mac McClung,IND,4
Coby White,CHI,2
Jalen Green,PHX,2
Jase Richardson,ORL,0
Andre Jackson Jr.,MIL,1
Eric Gordon,PHI,4
Antonio Reeves,CHA,0
Jamir Watkins,WAS,3
Johnny Juzang,MIN,0
Pacôme Dadiet,NYK,1
Daeqwon Plowden,SAC,0
Chris Mañon,LAL,0
Colby Jones,DET,2
Hunter Sallis,PHI,1
Garrett Temple,TOR,0
Koby Brea,PHX,2
