Name,TeamAbbreviation,Turnovers,LiveBallTurnovers,Fouls,Charge Fouls,FoulsDrawn,OnDefRtg,Blocks,Steals,Points,FG2A,Fg2Pct,FG3A,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Usage,Rebounds,DefRebounds,DefTwoPtRebounds,DefTwoPtReboundPct,DefThreePtRebounds,DefThreePtReboundPct,OffRebounds,OffTwoPtRebounds,OffTwoPtReboundPct,OffThreePtRebounds,OffThreePtReboundPct,OffFGReboundPct,DefAtRimReboundPct,OffAtRimReboundPct,Assists,AssistPoints,TwoPtAssists,ThreePtAssists,FTA,TwoPtShootingFoulsDrawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShootingFoulsDrawnPct,AtRimFG3AFrequency,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,AtRimFrequency,AtRimAccuracy,AtRimPctAssisted,AtRimPctBlocked,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,ShortMidRangePctBlocked,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3FGA,Arc3Accuracy,NonHeaveArc3FGM,NonHeaveArc3FGA,NonHeaveArc3Accuracy
Wendell Carter Jr.,ORL,3.276955602537,1.05708245243129,3.27868852459016,0.105708245243129,5.17970401691332,111.216931216931,1.37566137566138,1.05820105820106,20.1902748414376,7.82241014799154,0.594594594594595,4.54545454545455,0.441860465116279,4.86257928118393,6.76532769556025,2.5369978858351,6.02536997885835,0.0,0.727272727272727,0.914285714285714,1.0,0.367521367521368,0.564790170940171,0.61965811965812,0.667832167832168,1.90274841437632,16.036866359447,6.08143839238498,7.3015873015873,4.23280423280423,0.158102766798419,2.22222222222222,0.119318181818182,4.86257928118393,2.85412262156448,0.127962085308057,1.90274841437632,0.0886699507389162,0.108695652173913,0.157894736842105,0.1375,2.85412262156448,6.76532769556025,1.79704016913319,1.05708245243129,6.02536997885835,2.85412262156448,0.528541226215645,0.0,0.0,0.422832980972516,0.194244604316547,0.769230769230769,5.66081081081081,24.7418604651163,4.96828752642706,0.401709401709402,0.702127659574468,0.666666666666667,0.148936170212766,1.58562367864693,0.128205128205128,0.466666666666667,0.0666666666666666,1.26849894291755,0.102564102564103,0.333333333333333,0.75,1.90274841437632,0.153846153846154,0.444444444444444,0.444444444444444,1.0,2.64270613107822,0.44,11,25,0.44
Myles Turner,MIL,2.23880597014925,1.06609808102345,2.12992545260916,0.0,3.19829424307036,114.893617021277,2.76595744680851,2.02127659574468,19.7228144989339,6.39658848614072,0.45,8.84861407249467,0.433734939759036,2.45202558635394,3.62473347547974,2.13219616204691,11.5138592750533,0.0,0.62962962962963,0.739130434782609,1.0,0.58041958041958,0.525915384615385,0.566433566433567,0.585443037974684,0.852878464818763,17.3114119922631,5.00532481363152,8.08510638297872,4.25531914893617,0.18348623853211,3.51063829787234,0.156398104265403,1.91897654584222,0.639658848614073,0.0297029702970297,1.1727078891258,0.0558375634517766,0.0426065162907268,0.168831168831169,0.0375,2.98507462686567,7.67590618336887,1.27931769722815,1.70575692963753,3.5181236673774,1.81236673773987,0.319829424307036,0.0,0.0,0.106609808102345,0.10828025477707,0.741258741258741,8.28833333333333,26.110843373494,2.45202558635394,0.160839160839161,0.565217391304348,0.615384615384615,0.173913043478261,2.55863539445629,0.167832167832168,0.333333333333333,0.0833333333333333,1.38592750533049,0.0909090909090909,0.461538461538462,0.666666666666667,1.49253731343284,0.0979020979020979,0.571428571428571,0.571428571428571,1.0,7.35607675906183,0.405797101449275,28,69,0.405797101449275
Nikola Jokić,DEN,4.31125131440589,3.25972660357518,1.79230363732209,0.0,8.09674027339642,110.253699788584,1.16279069767442,2.43128964059197,39.9579390115668,16.6140904311251,0.746835443037975,6.4143007360673,0.39344262295082,7.57097791798107,14.5110410094637,10.3049421661409,6.94006309148265,0.630914826498423,0.584745762711864,0.669902912621359,0.916666666666667,0.278538812785388,0.516755733944954,0.703196347031963,0.736434108527132,3.15457413249211,27.3897058823529,9.1723774380601,14.1649048625793,7.92811839323467,0.350467289719626,5.91966173361522,0.233333333333333,4.20609884332282,2.94426919032597,0.144329896907216,1.15667718191377,0.0536585365853658,0.0977443609022556,0.358208955223881,0.180722891566265,15.1419558359621,34.4900105152471,10.9358569926393,4.20609884332282,8.83280757097792,3.36487907465825,0.630914826498423,0.10515247108307,0.0,1.26182965299685,0.134146341463415,0.579908675799087,5.69240506329114,25.9885245901639,6.94006309148265,0.301369863013699,0.833333333333333,0.581818181818182,0.0151515151515151,8.2018927444795,0.356164383561644,0.653846153846154,0.0512820512820512,1.47213459516299,0.0639269406392694,0.857142857142857,0.416666666666667,0.315457413249211,0.0136986301369863,0.666666666666667,0.666666666666667,1.0,6.09884332281809,0.379310344827586,22,58,0.379310344827586
Onyeka Okongwu,ATL,2.89699570815451,0.751072961373391,2.94748124330118,0.0,4.50643776824034,112.20556745182,1.82012847965739,1.49892933618844,25.8583690987124,10.1931330472103,0.610526315789474,7.4034334763948495,0.405797101449275,4.39914163090129,10.5150214592275,1.931330472103,9.01287553648069,0.0,0.844827586206897,0.907407407407407,1.0,0.420731707317073,0.562453963414634,0.609756097560976,0.645161290322581,0.858369098712446,20.3632887189293,5.94855305466238,9.20770877944326,4.28265524625268,0.184331797235023,4.60385438972163,0.182978723404255,2.68240343347639,1.82403433476395,0.0858585858585858,0.858369098712446,0.0384615384615384,0.0615763546798029,0.176470588235294,0.088235294117647,4.07725321888412,9.87124463519313,2.36051502145923,1.71673819742489,5.68669527896996,2.78969957081545,0.858369098712446,0.0,0.0,0.429184549356223,0.142857142857143,0.75,4.26736842105263,24.8086956521739,5.79399141630901,0.329268292682927,0.759259259259259,0.853658536585366,0.074074074074074,4.39914163090129,0.25,0.414634146341463,0.121951219512195,0.0,0.0,0.0,0.0,2.78969957081545,0.158536585365854,0.5,0.5,1.0,4.6137339055794,0.348837209302326,15,43,0.348837209302326
Alperen Sengun,HOU,4.47928331466965,3.13549832026876,2.19224283305228,0.111982082866741,8.17469204927212,112.415349887133,1.35440180586907,1.69300225733634,30.9070548712206,18.3650615901456,0.487804878048781,4.25531914893617,0.447368421052632,7.27883538633819,6.04703247480403,11.8701007838746,5.03919372900336,0.671892497200448,0.3375,0.375,0.882352941176471,0.188118811881188,0.510616089108911,0.522277227722772,0.572614107883817,1.79171332586786,26.6350710900474,6.97020798201237,9.70654627539503,5.19187358916479,0.218009478672986,3.38600451467269,0.13953488372093,4.25531914893617,2.46360582306831,0.0916666666666666,1.67973124300112,0.0961538461538461,0.0934343434343434,0.183098591549296,0.153846153846154,9.96640537513998,23.9641657334826,5.93505039193729,4.03135498320269,9.85442329227324,4.14333706606943,1.00783874580067,0.111982082866741,0.0,1.11982082866741,0.164502164502165,0.534653465346535,6.73170731707317,26.7315789473684,7.83874580067189,0.346534653465347,0.642857142857143,0.422222222222222,0.0857142857142857,7.83874580067189,0.346534653465347,0.371428571428571,0.128571428571429,2.68756998880179,0.118811881188119,0.375,0.222222222222222,0.447928331466965,0.0198019801980198,0.75,0.75,1.0,3.80739081746921,0.411764705882353,14,34,0.411764705882353
Ivica Zubac,LAC,3.27683615819209,1.69491525423729,2.04545454545455,0.0,4.63276836158192,121.257142857143,1.6,0.914285714285714,25.3107344632768,17.6271186440678,0.621794871794872,0.0,0.0,3.38983050847458,13.5593220338983,8.36158192090396,0.0,0.0,0.618556701030928,0.769230769230769,0.0,0.0,0.541854487179487,0.621794871794872,0.647398843930636,4.29378531073446,20.2404809619238,8.57954545454546,11.8857142857143,5.71428571428571,0.231481481481481,5.25714285714286,0.233502538071066,5.31073446327684,3.50282485875706,0.156565656565657,1.80790960451977,0.0796019900497512,0.117794486215539,0.2,0.259259259259259,3.38983050847458,8.70056497175141,1.46892655367232,1.92090395480226,4.51977401129944,1.92090395480226,0.677966101694915,0.0,0.0,0.677966101694915,0.101796407185629,0.506410256410256,4.29294871794872,0.0,8.92655367231638,0.506410256410256,0.734177215189873,0.568965517241379,0.0886075949367088,8.70056497175141,0.493589743589744,0.506493506493506,0.0649350649350649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Rudy Gobert,MIN,2.66075388026608,1.44124168514412,2.20264317180617,0.0,5.98669623059867,107.658643326039,2.73522975929978,0.87527352297593,16.629711751663,9.31263858093126,0.761904761904762,0.0,0.0,2.4390243902439,9.31263858093126,4.87804878048781,0.0,0.0,0.65625,0.954545454545455,0.0,0.0,0.653742857142857,0.761904761904762,0.721153846153846,4.43458980044346,12.4271844660194,7.37885462555066,10.0656455142232,4.81400437636762,0.176,4.3763676148796495,0.18018018018018,4.65631929046563,2.4390243902439,0.111675126903553,2.21729490022173,0.1,0.105793450881612,0.131868131868132,0.222222222222222,2.32815964523282,5.87583148558758,1.10864745011086,1.21951219512195,4.98891352549889,2.21729490022173,0.554323725055432,0.0,0.0,0.554323725055432,0.202020202020202,0.857142857142857,1.94166666666667,0.0,7.98226164079823,0.857142857142857,0.805555555555556,0.637931034482759,0.0416666666666666,1.33037694013304,0.142857142857143,0.5,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Jaren Jackson Jr.,MEM,3.5437430786268,1.21816168327796,3.42730790491985,0.44296788482835,6.53377630121816,117.770419426049,2.09713024282561,0.772626931567329,29.6788482834994,14.8394241417497,0.522388059701493,7.53045404208195,0.367647058823529,5.86932447397564,8.859357696567,6.64451827242525,8.30564784053156,0.0,0.571428571428571,0.597014925373134,1.0,0.336633663366337,0.50759603960396,0.532178217821782,0.582608695652174,0.664451827242525,25.3875968992248,4.36705362078496,7.06401766004415,3.09050772626932,0.152173913043478,3.86313465783665,0.148936170212766,1.66112956810631,1.43964562569214,0.0550847457627118,0.221483942414175,0.0094339622641509,0.0334821428571428,0.295454545454545,0.107692307692308,2.43632336655592,6.31229235880399,0.996677740863787,1.43964562569214,7.30897009966777,3.10077519379845,0.8859357696567,0.221483942414175,0.0,0.664451827242525,0.130044843049327,0.524752475247525,7.05671641791045,25.4132352941176,4.20819490586932,0.188118811881188,0.578947368421053,0.545454545454545,0.131578947368421,10.077519379845,0.450495049504951,0.527472527472528,0.0659340659340659,0.553709856035437,0.0247524752475247,0.0,0.0,1.66112956810631,0.0742574257425742,0.4,0.4,1.0,5.86932447397564,0.358490566037736,19,53,0.358490566037736
Karl-Anthony Towns,NYK,3.76522702104098,1.21816168327796,2.728285077951,0.664451827242525,7.64119601328904,114.78163493841,1.3437849944009,1.3437849944009,31.3399778516058,14.6179401993355,0.492424242424242,8.41638981173865,0.328947368421053,8.63787375415283,7.53045404208195,6.86600221483942,7.9734219269103,0.332225913621262,0.523076923076923,0.618181818181818,0.96,0.365384615384615,0.578721875,0.492788461538462,0.578512396694215,2.21483942414175,26.4875239923225,9.18708240534521,13.8857782754759,6.38297872340426,0.285,6.494960806271,0.273584905660377,4.54042081949059,2.6578073089701,0.115384615384615,1.88261351052049,0.0729613733905579,0.0929705215419501,0.297872340425532,0.132075471698113,4.65116279069768,11.0741971207087,2.87929125138427,1.7718715393134,9.52380952380952,4.4296788482835,1.21816168327796,0.332225913621262,0.221483942414175,0.44296788482835,0.180672268907563,0.841346153846154,3.59242424242424,26.6315789473684,10.9634551495017,0.475961538461538,0.565656565656566,0.571428571428571,0.101010101010101,2.87929125138427,0.125,0.307692307692308,0.192307692307692,0.775193798449612,0.0336538461538461,0.142857142857143,0.0,0.44296788482835,0.0192307692307692,0.5,0.5,0.5,7.9734219269103,0.319444444444444,23,72,0.319444444444444
Isaiah Hartenstein,OKC,3.64464692482916,1.70842824601367,2.44457077885162,0.227790432801822,4.55580865603645,105.22133938706,1.02156640181612,2.38365493757094,22.0956719817768,13.5535307517084,0.714285714285714,0.455580865603645,0.0,2.73348519362187,15.0341685649203,4.32801822323462,0.0,0.0,0.776470588235294,0.891891891891892,0.0,0.032520325203252,0.599119105691057,0.691056910569106,0.708029197080292,2.50569476082005,16.7992047713718,9.32347924957362,12.5993189557321,5.90238365493757,0.244131455399061,5.67536889897843,0.257731958762887,6.03644646924829,3.64464692482916,0.152380952380952,2.27790432801822,0.103092783505155,0.128712871287129,0.279411764705882,0.149253731343284,5.58086560364465,12.7562642369021,3.9863325740318896,1.59453302961276,4.1002277904328,2.50569476082005,0.911161731207289,0.0,0.0,0.0,0.160583941605839,0.634146341463415,4.06050420168067,24.3,8.42824601366743,0.601626016260163,0.851351351351351,0.777777777777778,0.0405405405405405,5.01138952164009,0.357723577235772,0.5,0.0681818181818181,0.113895216400911,0.008130081300813,0.0,0.0,0.227790432801822,0.016260162601626,0.0,0.0,0.0,0.227790432801822,0.0,0,2,0.0
