Name,TeamAbbreviation,Points,Usage,EfgPct,TsPct,Assists,AssistPoints,Turnovers,FTA,FG3APct,Rebounds,DefRebounds,Blocks,Steals,AtRimFrequency,AtRimAccuracy,Avg2ptShotDistance,Avg3ptShotDistance
Wendell Carter Jr.,ORL,20.1902748414376,16.036866359447,0.61965811965812,0.667832167832168,2.85412262156448,6.76532769556025,3.276955602537,6.02536997885835,0.367521367521368,6.08143839238498,7.3015873015873,1.37566137566138,1.05820105820106,0.401709401709402,0.702127659574468,5.66081081081081,24.7418604651163
Myles Turner,MIL,19.7228144989339,17.3114119922631,0.566433566433567,0.585443037974684,2.98507462686567,7.67590618336887,2.23880597014925,3.5181236673774,0.58041958041958,5.00532481363152,8.08510638297872,2.76595744680851,2.02127659574468,0.160839160839161,0.565217391304348,8.28833333333333,26.110843373494
Nikola Jokić,DEN,39.9579390115668,27.3897058823529,0.703196347031963,0.736434108527132,15.1419558359621,34.4900105152471,4.31125131440589,8.83280757097792,0.278538812785388,9.1723774380601,14.1649048625793,1.16279069767442,2.43128964059197,0.301369863013699,0.833333333333333,5.69240506329114,25.9885245901639
Onyeka Okongwu,ATL,25.8583690987124,20.3632887189293,0.609756097560976,0.645161290322581,4.07725321888412,9.87124463519313,2.89699570815451,5.68669527896996,0.420731707317073,5.94855305466238,9.20770877944326,1.82012847965739,1.49892933618844,0.329268292682927,0.759259259259259,4.26736842105263,24.8086956521739
Alperen Sengun,HOU,30.9070548712206,26.6350710900474,0.522277227722772,0.572614107883817,9.96640537513998,23.9641657334826,4.47928331466965,9.85442329227324,0.188118811881188,6.97020798201237,9.70654627539503,1.35440180586907,1.69300225733634,0.346534653465347,0.642857142857143,6.73170731707317,26.7315789473684
Ivica Zubac,LAC,25.3107344632768,20.2404809619238,0.621794871794872,0.647398843930636,3.38983050847458,8.70056497175141,3.27683615819209,4.51977401129944,0.0,8.57954545454546,11.8857142857143,1.6,0.914285714285714,0.506410256410256,0.734177215189873,4.29294871794872,0.0
Rudy Gobert,MIN,16.629711751663,12.4271844660194,0.761904761904762,0.721153846153846,2.32815964523282,5.87583148558758,2.66075388026608,4.98891352549889,0.0,7.37885462555066,10.0656455142232,2.73522975929978,0.87527352297593,0.857142857142857,0.805555555555556,1.94166666666667,0.0
Jaren Jackson Jr.,MEM,29.6788482834994,25.3875968992248,0.532178217821782,0.582608695652174,2.43632336655592,6.31229235880399,3.5437430786268,7.30897009966777,0.336633663366337,4.36705362078496,7.06401766004415,2.09713024282561,0.772626931567329,0.188118811881188,0.578947368421053,7.05671641791045,25.4132352941176
Karl-Anthony Towns,NYK,31.3399778516058,26.4875239923225,0.492788461538462,0.578512396694215,4.65116279069768,11.0741971207087,3.76522702104098,9.52380952380952,0.365384615384615,9.18708240534521,13.8857782754759,1.3437849944009,1.3437849944009,0.475961538461538,0.565656565656566,3.59242424242424,26.6315789473684
Isaiah Hartenstein,OKC,22.0956719817768,16.7992047713718,0.691056910569106,0.708029197080292,5.58086560364465,12.7562642369021,3.64464692482916,4.1002277904328,0.032520325203252,9.32347924957362,12.5993189557321,1.02156640181612,2.38365493757094,0.601626016260163,0.851351351351351,4.06050420168067,24.3
Deandre Ayton,LAL,26.131221719457,20.3219315895372,0.698717948717949,0.695783132530121,1.47058823529412,3.39366515837104,4.07239819004525,2.60180995475113,0.0,6.93348365276212,9.21348314606742,1.46067415730337,1.12359550561798,0.519230769230769,0.753086419753086,5.77051282051282,0.0
Victor Wembanyama,SAS,36.5116279069767,30.8163265306122,0.547511312217195,0.6003861003861,5.5813953488372094,13.953488372093,5.0,9.76744186046512,0.262443438914027,9.0221187427241,15.2680652680653,5.01165501165501,1.51515151515152,0.339366515837104,0.76,7.43128834355828,26.4120689655172
Nic Claxton,BKN,24.5487364620939,19.3888303477345,0.575757575757576,0.621951219512195,6.49819494584838,15.4031287605295,2.40673886883273,8.90493381468111,0.0454545454545454,6.11877624475105,7.17703349282297,2.27272727272727,1.31578947368421,0.621212121212121,0.670731707317073,3.78174603174603,25.7666666666667
Nikola Vučević,CHI,23.7054085155351,20.850622406639,0.559880239520958,0.575418994413408,5.52359033371692,13.0034522439586,2.53164556962025,2.87686996547756,0.365269461077844,7.47556066705003,11.9540229885057,0.689655172413793,1.03448275862069,0.221556886227545,0.594594594594595,6.80660377358491,26.0114754098361
Alex Sarr,WAS,29.9492385786802,26.6065388951522,0.555555555555556,0.575609756097561,5.96446700507614,15.6091370558376,3.93401015228426,4.56852791878173,0.211640211640212,6.68348045397226,9.39849624060151,3.50877192982456,1.12781954887218,0.365079365079365,0.768115942028986,5.78657718120805,25.98
Jalen Duren,DET,34.2710997442455,23.4848484848485,0.673611111111111,0.716577540106952,3.0690537084399,7.03324808184143,3.83631713554987,12.1483375959079,0.0,9.92317541613316,12.3076923076923,1.7948717948718,1.7948717948718,0.6875,0.696969696969697,3.39652777777778,0.0
Neemias Queta,BOS,18.707015130674,14.2690058479532,0.612244897959184,0.623853211009174,3.57634112792297,8.80330123796424,1.78817056396149,3.71389270976616,0.0306122448979591,8.35058661145618,10.387811634349,3.04709141274238,1.52354570637119,0.663265306122449,0.738461538461539,3.53473684210526,24.8666666666667
Domantas Sabonis,SAC,24.3870967741935,22.722029988466,0.524137931034483,0.559171597633136,5.29032258064516,11.3548387096774,3.61290322580645,6.58064516129032,0.137931034482759,8.66495507060334,12.5159642401022,0.255427841634738,1.6602809706258,0.537931034482759,0.641025641025641,4.0872,25.555
