"Name","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OnOffRtg","OnDefRtg","FirstChancePoints","ThreePtOffReboundedPct","AtRimOffReboundedPct","ShortMidRangeOffReboundedPct","LongMidRangeOffReboundedPct","Blocks","Blocked2s","Blocked3s","BlockedAtRim","BlockedShortMidRange","BlockedLongMidRange","BlockedCorner3","BlockedArc3","RecoveredBlocks","BlocksRecoveredPct","Steals","LostBallSteals","BadPassSteals","DefensiveGoaltends"
"Franz Wagner","ORL",15,538,3.830052916551523,116.47373107747106,112.64367816091954,26.981300089047195,0.25,0.4,0.30434782608695654,0.2,0.618921308576481,0.618921308576481,0,0.3536693191865606,0.26525198938992045,0,0,0,0.4420866489832007,0.7142857142857143,1.5030946065428823,10,7,0
"Devin Booker","PHX",15,530,5.159209153782982,117.54700089525515,112.38779174147217,34.914950760966875,0.24074074074074073,0.5555555555555556,0.26,0.18181818181818182,0.3590664272890485,0.3590664272890485,0,0.17953321364452424,0.17953321364452424,0,0,0,0.08976660682226212,0.25,1.2567324955116697,5,9,0
"Tyrese Maxey","PHI",13,525,5.701674609237628,120.91503267973856,115.21335807050093,36.88141923436041,0.2608695652173913,0.4482758620689655,0.36585365853658536,0.15384615384615385,0.9276437847866419,0.7421150278293135,0.18552875695732837,0.18552875695732837,0.46382189239332094,0.09276437847866419,0,0.18552875695732837,0.8348794063079777,0.9,1.6697588126159555,5,13,0
"Cooper Flagg","DAL",15,505,-12.12080902137437,102.71790065604499,114.83870967741936,20.993439550140582,0.0975609756097561,0.2857142857142857,0.25,0.16666666666666666,1.0138248847926268,0.8294930875576036,0.18433179723502305,0.09216589861751152,0.7373271889400922,0,0,0.18433179723502305,0.4608294930875576,0.45454545454545453,1.7511520737327189,4,15,0.2764976958525346
"Lauri Markkanen","UTA",14,502,-2.217661355657583,116.06805293005671,118.28571428571429,34.593572778827976,0.30120481927710846,0.5625,0.425,0.21428571428571427,0.6666666666666666,0.6666666666666666,0,0.09523809523809523,0.5714285714285714,0,0,0,0.38095238095238093,0.5714285714285714,1.3333333333333333,1,13,0
"Shai Gilgeous-Alexander","OKC",15,499,19.663395383856482,125.74447646493756,106.08108108108108,43.22766570605187,0.1568627450980392,0.26666666666666666,0.25,0.18518518518518517,1.3513513513513513,1.3513513513513513,0,0.3861003861003861,0.8687258687258688,0.09652509652509653,0,0,0.6756756756756757,0.5,2.1235521235521237,9,13,0
"Trey Murphy III","NOP",14,498,-14.874762441677447,106.49854510184286,121.37330754352031,23.18137730358875,0.28125,0.5625,0.19047619047619047,0.25,0.19342359767891681,0.19342359767891681,0,0.09671179883945841,0.09671179883945841,0,0,0,0.19342359767891681,1,2.0309477756286265,6,15,0
"Dyson Daniels","ATL",15,497,7.9020172910662865,121.90201729106629,114,11.719500480307397,0.3,0.3,0.2727272727272727,0,0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0,0,0,0,0.47619047619047616,0.7142857142857143,3.3333333333333335,15,20,0
"Desmond Bane","ORL",15,494,0.9010282788465247,114.48007774538388,113.57904946653734,21.865889212827987,0.3137254901960784,0.4090909090909091,0.4666666666666667,0.2857142857142857,0.48496605237633367,0.3879728419010669,0.09699321047526673,0.09699321047526673,0.19398642095053345,0.09699321047526673,0,0.09699321047526673,0.3879728419010669,0.8,1.066925315227934,3,8,0
"Miles Bridges","CHA",14,493,-4.5338779922151105,115.13982642237224,119.67370441458733,27.483124397299903,0.19230769230769232,0.35714285714285715,0.3448275862068966,0.25,0.5758157389635317,0.4798464491362764,0.09596928982725528,0.28790786948176583,0.19193857965451055,0,0,0.09596928982725528,0.4798464491362764,0.8333333333333334,0.9596928982725528,4,6,0.09596928982725528
"Derrick White","BOS",15,493,6.9360389348041025,118.12627291242362,111.19023397761953,21.283095723014256,0.23333333333333334,0.36363636363636365,0.22580645161290322,0.4666666666666667,2.034587995930824,1.9328585961342828,0.1017293997965412,0.8138351983723296,0.9155645981688708,0.2034587995930824,0,0.1017293997965412,1.017293997965412,0.5,2.644964394710071,13,13,0
"VJ Edgecombe","PHI",13,485,6.039734912974339,120.82494969818914,114.78521478521479,18.309859154929576,0.27906976744186046,0.47619047619047616,0.5,0.5,0.4995004995004995,0.4995004995004995,0,0.4995004995004995,0,0,0,0,0.1998001998001998,0.4,1.5984015984015985,5,11,0.1998001998001998
"Duncan Robinson","DET",15,482,7.326369240626462,120.23928215353939,112.91291291291292,16.25124626121635,0.265625,0.5,0.7,0,0.5005005005005005,0.4004004004004004,0.1001001001001001,0,0.4004004004004004,0,0,0.1001001001001001,0.3003003003003003,0.6,1.3013013013013013,5,8,0
"Payton Pritchard","BOS",15,482,7.474838137434745,120.96608427543678,113.49124613800205,21.274409044193217,0.4358974358974359,0.7142857142857143,0.35714285714285715,0.6,0,0,0,0,0,0,0,0,0,0,1.132852729145211,2,9,0
"Keyonte George","UTA",14,482,-7.344698773589869,116.6832174776564,124.02791625124627,29.692154915590866,0.30303030303030304,0.3333333333333333,0.45454545454545453,0.13333333333333333,0.3988035892323031,0.3988035892323031,0,0.09970089730807577,0.19940179461615154,0.09970089730807577,0,0,0.29910269192422734,0.75,1.4955134596211366,3,12,0
"Toumani Camara","POR",14,482,-3.3926128590971274,116.5686274509804,119.96124031007751,13.431372549019608,0.3787878787878788,0.18181818181818182,0.3333333333333333,0.6666666666666666,0.5813953488372093,0.4844961240310077,0.09689922480620156,0.3875968992248062,0.09689922480620156,0,0,0.09689922480620156,0.09689922480620156,0.16666666666666666,1.4534883720930232,6,9,0
"Jaylen Brown","BOS",15,481,2.557469424345257,120.1863354037267,117.62886597938146,39.33747412008282,0.2727272727272727,0.3,0.5405405405405406,0.2,0.41237113402061853,0.41237113402061853,0,0.30927835051546393,0.10309278350515463,0,0,0,0.20618556701030927,0.5,1.2371134020618557,7,5,0
"Evan Mobley","CLE",14,479,5.744800757676572,117.72908366533865,111.98428290766209,21.61354581673307,0.23809523809523808,0.3157894736842105,0.2857142857142857,0.2,2.161100196463654,2.161100196463654,0,1.37524557956778,0.7858546168958742,0,0,0,1.080550098231827,0.5,1.6699410609037328,7,10,0.09823182711198428
"DeMar DeRozan","SAC",14,476,-13.205534350769767,109.84095427435388,123.04648862512364,23.658051689860834,0.4,0.3333333333333333,0.3103448275862069,0.3,0.19782393669634027,0.19782393669634027,0,0,0.19782393669634027,0,0,0,0,0,1.5825914935707222,8,8,0
"Rui Hachimura","LAL",14,475,1.6689708765937326,118.01801801801801,116.34904714142426,18.21821821821822,0.2222222222222222,0.5,0.2727272727272727,0.375,0.30090270812437314,0.30090270812437314,0,0.20060180541624875,0.10030090270812438,0,0,0,0,0,0.9027081243731193,4,5,0
"Deni Avdija","POR",14,473,1.9911434539345123,121.81274900398408,119.82160555004955,30.776892430278885,0.3389830508474576,0.3793103448275862,0.20689655172413793,0.3333333333333333,1.0901883052527255,1.0901883052527255,0,0.19821605550049554,0.6937561942517344,0.19821605550049554,0,0,0.5946481665014867,0.5454545454545454,0.6937561942517344,1,6,0
"James Harden","LAC",13,470,-2.6942066604075734,119.83210912906611,122.52631578947368,32.84365162644281,0.24,0.35714285714285715,0.45161290322580644,0.25,0.7368421052631579,0.631578947368421,0.10526315789473684,0.21052631578947367,0.42105263157894735,0,0.10526315789473684,0,0.3157894736842105,0.42857142857142855,1.263157894736842,2,10,0
"Jimmy Butler III","GSW",15,469,6.449206722567993,116.30546955624355,109.85626283367556,27.141382868937047,0.35294117647058826,0.4444444444444444,0.37037037037037035,0.21428571428571427,0.4106776180698152,0.4106776180698152,0,0.2053388090349076,0.2053388090349076,0,0,0,0.3080082135523614,0.75,2.6694045174537986,7,19,0
"Brandon Ingram","TOR",14,468,0.8154943934760439,120.28542303771661,119.46992864424057,25.28032619775739,0.22727272727272727,0.375,0.3333333333333333,0.125,1.1213047910295617,1.1213047910295617,0,0.7135575942915392,0.4077471967380224,0,0,0,0.4077471967380224,0.36363636363636365,1.4271151885830784,4,10,0
"Devin Vassell","SAS",14,465,11.075085251309744,120.68252326783868,109.60743801652893,18.30403309203723,0.3125,0.8333333333333334,0.3684210526315789,0.14285714285714285,0.4132231404958678,0.4132231404958678,0,0.2066115702479339,0.10330578512396695,0.10330578512396695,0,0,0.10330578512396695,0.25,1.6528925619834711,2,14,0.10330578512396695
"Ryan Rollins","MIL",15,464,2.9474445704453984,119.76987447698744,116.82242990654204,25.627615062761507,0.11904761904761904,0.4,0.25,0.125,0.3115264797507788,0.3115264797507788,0,0.20768431983385255,0.10384215991692627,0,0,0,0.10384215991692627,0.3333333333333333,2.596053997923157,10,15,0
"Julius Randle","MIN",14,464,12.237942095292269,127.20739219712526,114.96945010183299,31.82751540041068,0.2558139534883721,0.4,0.2777777777777778,0.1111111111111111,0.3054989816700611,0.3054989816700611,0,0.10183299389002037,0.20366598778004075,0,0,0,0.20366598778004075,0.6666666666666666,1.8329938900203666,9,9,0
"Andrew Wiggins","MIA",14,461,-2.5152729908435987,115.52238805970148,118.0376610505451,21.29353233830846,0.17777777777777778,0.3684210526315789,0.25925925925925924,0.375,1.288404360753221,1.1892963330029733,0.09910802775024777,0.49554013875123887,0.49554013875123887,0.19821605550049554,0.09910802775024777,0,0.49554013875123887,0.38461538461538464,1.4866204162537167,8,7,0
"Kon Knueppel","CHA",14,460,-2.1325571825383207,113.94628099173553,116.07883817427386,23.24380165289256,0.3230769230769231,0.3125,0.45454545454545453,0.2,0.3112033195020747,0.3112033195020747,0,0.1037344398340249,0.2074688796680498,0,0,0,0.3112033195020747,1,1.2448132780082988,6,6,0
"Mikal Bridges","NYK",13,456,4.763514259836086,121.30801687763713,116.54450261780104,19.514767932489452,0.27906976744186046,0.23076923076923078,0.25,0.5,1.5706806282722514,1.5706806282722514,0,0.837696335078534,0.7329842931937173,0,0,0,0.9424083769633508,0.6,2.722513089005236,9,17,0
"Scottie Barnes","TOR",14,455,4.832307388989889,119.68586387434554,114.85355648535564,23.979057591623036,0.26666666666666666,0.3888888888888889,0.37209302325581395,0.15384615384615385,2.6150627615062763,2.196652719665272,0.41841004184100417,1.3598326359832635,0.7322175732217573,0.10460251046025104,0,0.41841004184100417,1.3598326359832635,0.52,2.092050209205021,4,16,0
"Wendell Carter Jr.","ORL",15,454,1.99659943845991,113.21353065539111,111.21693121693123,14.16490486257928,0.30434782608695654,0.7142857142857143,0.25,0,1.3756613756613756,1.3756613756613756,0,0.42328042328042326,0.9523809523809523,0,0,0,1.2698412698412698,0.9230769230769231,1.0582010582010581,7,3,0
"Pascal Siakam","IND",13,454,-12.370268149232416,111.1344537815126,123.50472193074502,30.777310924369747,0.2558139534883721,0.14285714285714285,0.3673469387755102,0.23809523809523808,0.5246589716684156,0.5246589716684156,0,0.1049317943336831,0.4197271773347324,0,0,0,0.3147953830010493,0.6,1.5739769150052465,8,7,0.1049317943336831
"Brandin Podziemski","GSW",16,452,3.1148405438246556,112.89978678038379,109.78494623655914,16.417910447761194,0.2826086956521739,0.2,0.2857142857142857,0.2,0.5376344086021505,0.5376344086021505,0,0.10752688172043011,0.43010752688172044,0,0,0,0.3225806451612903,0.6,2.043010752688172,11,8,0
"Myles Turner","MIL",15,449,3.443269972326817,118.3368869936034,114.8936170212766,18.017057569296377,0.08888888888888889,0.4,0.25,0.14285714285714285,2.765957446808511,2.4468085106382977,0.3191489361702128,1.4893617021276595,0.9574468085106383,0,0.2127659574468085,0.10638297872340426,1.9148936170212767,0.6923076923076923,2.021276595744681,7,12,0.10638297872340426
"Nikola Jokić","DEN",13,448,18.452924817094726,128.70662460567823,110.2536997885835,32.70241850683491,0.25,0.5454545454545454,0.2962962962962963,0,1.1627906976744187,1.1627906976744187,0,0.42283298097251587,0.6342494714587738,0.10570824524312897,0,0,0.5285412262156448,0.45454545454545453,2.431289640591966,7,16,0
"Max Christie","DAL",15,447,-2.8639973114189843,111.02783725910065,113.89183457051962,18.201284796573876,0.22727272727272727,0.625,0.4375,0,0.848356309650053,0.848356309650053,0,0.5302226935312832,0.3181336161187699,0,0,0,0.4241781548250265,0.5,0.848356309650053,2,6,0
"Royce O'Neale","PHX",15,444,0.7165368928439051,117.5268817204301,116.81034482758622,16.881720430107528,0.30158730158730157,0.5,0.16666666666666666,0,0.21551724137931033,0.10775862068965517,0.10775862068965517,0.10775862068965517,0,0,0,0.10775862068965517,0.21551724137931033,1,2.0474137931034484,10,9,0
"Onyeka Okongwu","ATL",15,444,1.7429304022571301,113.94849785407725,112.20556745182013,22.21030042918455,0.3,0.3076923076923077,0.16666666666666666,0,1.8201284796573876,1.7130620985010707,0.10706638115631692,0.4282655246252677,1.177730192719486,0.10706638115631692,0,0.10706638115631692,1.177730192719486,0.6470588235294118,1.4989293361884368,7,7,0
"Donovan Mitchell","CLE",13,443,10.840405756958404,122.18717139852787,111.34676564156946,40.273396424815985,0.32926829268292684,0.6,0.38095238095238093,0.1,0.6362672322375398,0.6362672322375398,0,0.4241781548250265,0.10604453870625663,0.10604453870625663,0,0,0.5302226935312832,0.8333333333333334,2.014846235418876,4,15,0
"RJ Barrett","TOR",14,442,1.3114640123753531,118.85157096424702,117.54010695187166,25.785482123510292,0.3469387755102041,0.30434782608695654,0.3333333333333333,1,0.42780748663101603,0.42780748663101603,0,0.42780748663101603,0,0,0,0,0.21390374331550802,0.5,1.2834224598930482,3,9,0
"Alperen Sengun","HOU",12,442,14.796296249484953,127.21164613661814,112.41534988713319,26.539753639417693,0.5238095238095238,0.68,0.36585365853658536,0.2857142857142857,1.3544018058690745,1.3544018058690745,0,0.7900677200902935,0.5643340857787811,0,0,0,1.0158013544018059,0.75,1.693002257336343,6,9,0
"Ivica Zubac","LAC",14,441,-5.437933817594825,115.81920903954803,121.25714285714285,18.07909604519774,0,0.47619047619047616,0.23684210526315788,0,1.6,1.4857142857142858,0.11428571428571428,0.9142857142857143,0.5714285714285714,0,0,0.11428571428571428,0.8,0.5,0.9142857142857143,5,3,0
"Cade Cunningham","DET",12,441,8.324563852558171,119.93464052287582,111.61007667031762,33.333333333333336,0.3508771929824561,0.5517241379310345,0.3673469387755102,0.5,0.9857612267250822,0.9857612267250822,0,0.32858707557502737,0.6571741511500547,0,0,0,0.7667031763417306,0.7777777777777778,1.8619934282584885,11,6,0
"Rudy Gobert","MIN",14,439,12.851334501011621,120.509977827051,107.65864332603938,11.30820399113082,0,0.35714285714285715,0.5,0,2.735229759299781,2.735229759299781,0,0.87527352297593,1.312910284463895,0.5470459518599562,0,0,1.2035010940919038,0.44,0.87527352297593,1,7,0.10940919037199125
"Immanuel Quickley","TOR",14,439,5.563449660869239,117.98245614035089,112.41900647948164,22.478070175438596,0.2545454545454545,0,0.2857142857142857,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1.9438444924406046,8,10,0
"Jaden McDaniels","MIN",14,436,7.436623873057243,121.69076751946606,114.25414364640883,24.360400444938822,0.2608695652173913,0.5714285714285714,0.25,0.4,1.988950276243094,1.988950276243094,0,1.5469613259668509,0.4419889502762431,0,0,0,1.3259668508287292,0.6666666666666666,1.5469613259668509,5,9,0.22099447513812154
"Jaren Jackson Jr.","MEM",15,435,-9.132545671895741,108.63787375415284,117.77041942604856,27.131782945736433,0.21428571428571427,0.4375,0.18604651162790697,0.2,2.097130242825607,1.9867549668874172,0.11037527593818984,0.7726269315673289,1.2141280353200883,0,0.11037527593818984,0,1.1037527593818985,0.5263157894736842,0.7726269315673289,3,4,0
"Jalen Johnson","ATL",13,434,1.4225187137392652,115.73875802997858,114.31623931623932,26.873661670235546,0.28,0.35294117647058826,0.3103448275862069,0.125,0.42735042735042733,0.42735042735042733,0,0.21367521367521367,0.21367521367521367,0,0,0,0.21367521367521367,0.5,2.5641025641025643,4,20,0
