Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Tyrese Maxey,25,PHI,PG,13,13,525,12.8,28.2,0.456,4.6,11.1,0.413,8.3,17.1,0.484,0.537,8.5,9.6,0.886,0.4,5.5,5.9,9.2,1.7,0.9,3.1,3.0,38.8,125,116,,maxeyty01
2,Cooper Flagg,19,DAL,PG,15,15,505,8.3,18.3,0.455,1.6,5.4,0.293,6.7,12.9,0.521,0.497,3.3,4.2,0.783,1.5,7.3,8.8,4.3,1.8,1.0,3.0,3.2,21.5,103,111,,flaggco01
3,Devin Booker,29,PHO,SG,14,14,501,13.3,26.8,0.495,2.7,7.9,0.341,10.5,18.9,0.559,0.545,9.3,10.4,0.897,1.5,4.1,5.5,9.5,1.1,0.4,5.4,3.9,38.5,121,119,,bookede01
4,Franz Wagner,24,ORL,SF,14,14,501,10.1,22.0,0.461,2.4,6.7,0.357,7.8,15.3,0.506,0.515,8.3,10.1,0.829,2.5,5.9,8.4,5.2,1.5,0.6,2.8,3.4,31.0,121,114,,wagnefr01
5,Shai Gilgeous-Alexander,27,OKC,PG,15,15,499,15.6,29.4,0.531,3.3,8.5,0.386,12.3,20.9,0.591,0.587,11.9,13.2,0.904,0.6,6.5,7.1,9.8,2.1,1.4,2.5,2.7,46.5,137,105,,gilgesh01
6,Trey Murphy III,25,NOP,SF,14,14,498,9.3,20.1,0.466,3.9,10.4,0.377,5.4,9.6,0.561,0.564,4.5,4.8,0.939,2.4,7.0,9.3,4.3,2.1,0.2,3.0,3.1,27.1,121,123,,murphtr02
7,Miles Bridges,27,CHO,PF,14,14,493,10.1,23.9,0.420,4.5,12.4,0.362,5.6,11.5,0.483,0.514,5.6,6.3,0.891,1.5,8.1,9.6,5.4,1.0,0.6,2.2,2.5,30.2,120,120,,bridgmi02
8,VJ Edgecombe,20,PHI,SG,13,13,485,7.4,18.1,0.412,2.7,7.1,0.375,4.8,10.9,0.436,0.486,2.4,3.3,0.727,2.4,5.0,7.3,5.6,1.6,0.5,2.4,4.2,20.0,110,117,,edgecvj01
9,Evan Mobley,24,CLE,PF,14,14,479,9.1,19.5,0.467,2.3,6.5,0.364,6.8,13.0,0.519,0.528,5.3,8.4,0.628,3.5,8.5,12.0,5.9,1.7,2.2,3.7,3.3,25.8,113,111,,mobleev01
10,DeMar DeRozan,36,SAC,PF,14,14,476,9.8,19.5,0.500,1.3,3.3,0.394,8.5,16.3,0.521,0.533,5.1,6.0,0.852,0.7,3.8,4.5,4.8,1.6,0.2,1.4,2.8,25.9,120,124,,derozde01
11,James Harden,36,LAC,PG,13,13,470,10.5,24.1,0.436,5.0,13.3,0.376,5.5,10.8,0.510,0.540,10.1,10.9,0.922,0.8,7.9,8.7,12.0,1.3,0.7,5.3,2.7,36.1,123,120,,hardeja01
12,Lauri Markkanen,28,UTA,PF,13,13,470,13.5,28.3,0.479,5.0,12.7,0.389,8.6,15.6,0.552,0.566,8.2,9.3,0.880,3.0,5.1,8.1,2.7,1.2,0.7,1.8,2.5,40.2,128,121,,markkla01
13,Brandon Ingram,28,TOR,SF,14,14,468,10.9,22.5,0.486,1.7,6.2,0.279,9.2,16.3,0.565,0.525,6.0,6.8,0.881,1.0,7.5,8.5,5.4,1.4,1.1,3.7,3.3,29.5,111,113,,ingrabr01
14,Ryan Rollins,23,MIL,PG,15,14,464,10.3,20.1,0.513,3.8,8.2,0.463,6.5,11.8,0.548,0.608,2.5,3.2,0.774,1.1,4.6,5.8,8.2,2.6,0.3,3.8,4.6,26.9,118,117,,rolliry01
15,Julius Randle,31,MIN,PF,14,14,464,12.1,23.2,0.520,2.7,7.1,0.377,9.4,16.2,0.582,0.577,8.3,9.7,0.853,2.0,8.4,10.4,8.7,1.8,0.3,3.6,3.7,35.1,128,113,,randlju01
16,Derrick White,31,BOS,SG,14,14,461,8.3,23.4,0.356,4.0,13.1,0.306,4.3,10.3,0.421,0.442,3.6,4.3,0.825,1.4,4.5,6.0,8.2,2.6,1.8,1.8,2.6,24.3,113,113,,whitede01
17,Andrew Wiggins,30,MIA,SF,14,14,461,9.2,18.9,0.484,2.5,6.9,0.357,6.7,12.0,0.557,0.549,2.3,3.4,0.657,2.1,4.6,6.7,4.0,1.5,1.3,2.9,3.6,23.0,108,116,,wiggian01
18,Kon Knueppel,20,CHO,SF,14,13,460,9.0,19.4,0.465,4.7,11.7,0.402,4.3,7.6,0.562,0.586,3.1,3.6,0.882,1.4,7.4,8.8,4.0,1.3,0.3,3.7,3.6,25.9,114,120,,knuepko01
19,Dyson Daniels,22,ATL,SG,14,14,459,5.4,11.6,0.469,0.3,1.3,0.231,5.1,10.3,0.500,0.482,1.3,2.2,0.619,2.4,5.9,8.2,8.3,3.3,0.6,3.0,3.7,12.5,108,110,,daniedy01
